ticker,carrier,fiscal_year,quarter,period_end,buyback_musd,avg_price,shares_bought,value_today_musd,spy_value_musd,debt_value_musd,even_spend_musd,even_value_musd,net_debt_ebitda_2019
UAL,United,2016,Q1,3/31/16,1392,53.1,26214689.27,2919.79,6511.81,2085.82,348.2142857,730.4,2.312945819
UAL,United,2016,Q2,6/30/16,790,47.32,16694843.62,1859.47,3457.69,1172.39,348.2142857,819.61,2.312945819
UAL,United,2016,Q3,9/30/16,260,48.11,5404281.854,601.93,1086.66,382.1,348.2142857,806.15,2.312945819
UAL,United,2016,Q4,12/31/16,172,63.72,2699309.479,300.65,707.62,250.32,348.2142857,608.66,2.312945819
UAL,United,2017,Q1,3/31/17,258,72.28,3569452.131,397.57,992.26,371.92,348.2142857,536.58,2.312945819
UAL,United,2017,Q2,6/30/17,454,75.5,6013245.033,669.76,1685.54,648.17,348.2142857,513.7,2.312945819
UAL,United,2017,Q3,9/30/17,579,66.62,8691083.759,968.01,2079.36,818.6,348.2142857,582.17,2.312945819
UAL,United,2017,Q4,12/31/17,553,62.33,8872132.2,988.18,1873.55,774.25,348.2142857,622.24,2.312945819
UAL,United,2018,Q1,3/31/18,529,69.09,7656679.693,852.8,1699.33,733.61,348.2142857,561.36,2.312945819
UAL,United,2018,Q2,6/30/18,440,69.49,6331846.309,705.24,1422.63,604.33,348.2142857,558.13,2.312945819
UAL,United,2018,Q3,9/30/18,41,82.48,497090.2037,55.37,125.19,55.77,348.2142857,470.22,2.312945819
UAL,United,2018,Q4,12/31/18,225,87.84,2561475.41,285.3,722.2,303.06,348.2142857,441.53,2.312945819
UAL,United,2019,Q1,3/31/19,513,84.4,6078199.052,676.99,1624.35,684.41,348.2142857,459.53,2.312945819
UAL,United,2019,Q2,6/30/19,549,84.63,6487061.326,722.53,1633.45,725.4,348.2142857,458.28,2.312945819
UAL,United,2019,Q3,9/30/19,369,88.37,4175625.212,465.08,1064.74,482.83,348.2142857,438.88,2.312945819
UAL,United,2019,Q4,12/31/19,214,89.75,2384401.114,265.57,589.78,277.3,348.2142857,432.13,2.312945819
UAL,United,2020,Q1,3/31/20,353,66.12,5338777.979,594.63,977.24,453.02,348.2142857,586.57,2.312945819
UAL,United,2020,Q2,6/30/20,0,29.99,0,0,0,0,0,0,2.312945819
UAL,United,2020,Q3,9/30/20,0,34.59,0,0,0,0,0,0,2.312945819
UAL,United,2020,Q4,12/31/20,0,40.45,0,0,0,0,0,0,2.312945819
UAL,United,2021,Q1,3/31/21,0,48.83,0,0,0,0,0,0,2.312945819
UAL,United,2021,Q2,6/30/21,0,55.46,0,0,0,0,0,0,2.312945819
UAL,United,2021,Q3,9/30/21,0,47.12,0,0,0,0,0,0,2.312945819
UAL,United,2021,Q4,12/31/21,0,46.38,0,0,0,0,0,0,2.312945819
UAL,United,2022,Q1,3/31/22,0,43.35,0,0,0,0,0,0,2.312945819
UAL,United,2022,Q2,6/30/22,0,43.89,0,0,0,0,0,0,2.312945819
UAL,United,2022,Q3,9/30/22,0,37.2,0,0,0,0,0,0,2.312945819
UAL,United,2022,Q4,12/31/22,0,40.58,0,0,0,0,0,0,2.312945819
UAL,United,2023,Q1,3/31/23,0,47.92,0,0,0,0,0,0,2.312945819
UAL,United,2023,Q2,6/30/23,0,47.22,0,0,0,0,0,0,2.312945819
UAL,United,2023,Q3,9/30/23,0,50.56,0,0,0,0,0,0,2.312945819
UAL,United,2023,Q4,12/31/23,0,39.32,0,0,0,0,0,0,2.312945819
UAL,United,2024,Q1,3/31/24,0,42.85,0,0,0,0,0,0,2.312945819
UAL,United,2024,Q2,6/30/24,0,50.33,0,0,0,0,0,0,2.312945819
UAL,United,2024,Q3,9/30/24,82,46.29,1771440.916,197.3,116.88,88.39,348.2142857,837.85,2.312945819
UAL,United,2024,Q4,12/31/24,80,84.54,946297.6106,105.4,106.69,85.4,348.2142857,458.77,2.312945819
UAL,United,2025,Q1,3/31/25,349,94.43,3695859.367,411.64,464.98,369.02,348.2142857,410.72,2.312945819
UAL,United,2025,Q2,6/30/25,240,73.67,3257771.142,362.85,327.79,251.33,348.2142857,526.46,2.312945819
UAL,United,2025,Q3,9/30/25,21,96.17,218363.315,24.32,25.5,21.78,348.2142857,403.29,2.312945819
UAL,United,2025,Q4,12/31/25,27,101.05,267194.4582,29.76,31.01,27.73,348.2142857,383.81,2.312945819
UAL,United,2026,Q1,3/31/26,27,104.78,257682.7639,28.7,30.74,27.47,348.2142857,370.15,2.312945819
UAL,United,2026,Q2,6/30/26,0,103.58,0,0,0,0,0,0,2.312945819
AAL,American,2023,Q1,3/31/23,0,15.59,0,0,0,0,0,0,5.20847308
AAL,American,2023,Q2,6/30/23,0,14.66,0,0,0,0,0,0,5.20847308
AAL,American,2023,Q3,9/30/23,0,15.52,0,0,0,0,0,0,5.20847308
AAL,American,2023,Q4,12/31/23,0,12.56,0,0,0,0,0,0,5.20847308
AAL,American,2024,Q1,3/31/24,0,14.51,0,0,0,0,0,0,5.20847308
AAL,American,2024,Q2,6/30/24,0,13.14,0,0,0,0,0,0,5.20847308
AAL,American,2024,Q3,9/30/24,0,10.58,0,0,0,0,0,0,5.20847308
AAL,American,2024,Q4,12/31/24,0,14.38,0,0,0,0,0,0,5.20847308
AAL,American,2025,Q1,3/31/25,0,15.06,0,0,0,0,0,0,5.20847308
AAL,American,2025,Q2,6/30/25,0,10.71,0,0,0,0,0,0,5.20847308
AAL,American,2025,Q3,9/30/25,0,12.32,0,0,0,0,0,0,5.20847308
AAL,American,2025,Q4,12/31/25,0,13.49,0,0,0,0,0,0,5.20847308
AAL,American,2026,Q1,3/31/26,0,13.25,0,0,0,0,0,0,5.20847308
AAL,American,2026,Q2,6/30/26,0,13.38,0,0,0,0,0,0,5.20847308
DAL,Delta,2023,Q1,3/31/23,0,35.81,0,0,0,0,0,0,1.447874769
DAL,Delta,2023,Q2,6/30/23,0,35.61,0,0,0,0,0,0,1.447874769
DAL,Delta,2023,Q3,9/30/23,0,41.99,0,0,0,0,0,0,1.447874769
DAL,Delta,2023,Q4,12/31/23,0,35.16,0,0,0,0,0,0,1.447874769
DAL,Delta,2024,Q1,3/31/24,0,40.15,0,0,0,0,0,0,1.447874769
DAL,Delta,2024,Q2,6/30/24,0,48.43,0,0,0,0,0,0,1.447874769
DAL,Delta,2024,Q3,9/30/24,0,42.55,0,0,0,0,0,0,1.447874769
DAL,Delta,2024,Q4,12/31/24,0,57.87,0,0,0,0,0,0,1.447874769
DAL,Delta,2025,Q1,3/31/25,0,58.17,0,0,0,0,0,0,1.447874769
DAL,Delta,2025,Q2,6/30/25,0,45.2,0,0,0,0,0,0,1.447874769
DAL,Delta,2025,Q3,9/30/25,0,56.39,0,0,0,0,0,0,1.447874769
DAL,Delta,2025,Q4,12/31/25,0,61.96,0,0,0,0,0,0,1.447874769
